kva,sec_voltage,hv_kv_min,hv_kv_max
75,208Y/120V,1,15
75,240V,1,15
75,480Y/277V,1,15
75,480V,1,15
75,600Y347V,1,15
75,600V,1,15
112,208Y/120V,1,15
112,240V,1,15
112,480Y/277V,1,15
112,480V,1,15
112,600Y347V,1,15
112,600V,1,15
150,208Y/120V,1,15
150,240V,1,15
150,480Y/277V,1,15
150,480V,1,15
150,600Y347V,1,15
150,600V,1,15
225,208Y/120V,1,25
225,240V,1,25
225,480Y/277V,1,25
225,480V,1,25
225,600Y347V,1,25
225,600V,1,25
225,2400V,8.7,35
225,4160V,8.7,35
225,4800V,8.7,35
300,208Y/120V,1,35
300,240V,1,35
300,480Y/277V,1,35
300,480V,1,35
300,600Y347V,1,35
300,600V,1,35
300,2400V,8.7,35
300,4160V,8.7,35
300,4800V,8.7,35
500,208Y/120V,1,35
500,240V,1,35
500,480Y/277V,1,35
500,480V,1,35
500,600Y347V,1,35
500,600V,1,35
500,2400V,8.7,35
500,4160V,8.7,35
500,4800V,8.7,35
750,208Y/120V,1,35
750,240V,1,35
750,480Y/277V,1,35
750,480V,1,35
750,600Y347V,1,35
750,600V,1,35
750,2400V,8.7,35
750,4160V,8.7,35
750,4800V,8.7,35
"1,000",208Y/120V,1,35
"1,000",240V,1,35
"1,000",480Y/277V,1,35
"1,000",480V,1,35
"1,000",600Y347V,1,35
"1,000",600V,1,35
"1,000",2400V,8.7,35
"1,000",4160V,8.7,35
"1,000",4800V,8.7,35
"1,500",208Y/120V,1,35
"1,500",240V,1,35
"1,500",480Y/277V,1,35
"1,500",480V,1,35
"1,500",600Y347V,1,35
"1,500",600V,1,35
"1,500",2400V,8.7,35
"1,500",4160V,8.7,35
"1,500",4800V,8.7,35
"2,000",208Y/120V,-,-
"2,000",240V,1,35
"2,000",480Y/277V,1,35
"2,000",480V,1,35
"2,000",600Y347V,1,35
"2,000",600V,1,35
"2,000",2400V,8.7,35
"2,000",4160V,8.7,35
"2,000",4800V,8.7,35
"2,500",208Y/120V,-,-
"2,500",240V,5,35
"2,500",480Y/277V,5,35
"2,500",480V,5,35
"2,500",600Y347V,5,35
"2,500",600V,5,35
"2,500",2400V,8.7,35
"2,500",4160V,8.7,35
"2,500",4800V,8.7,35
"3,000",208Y/120V,-,-
"3,000",240V,-,-
"3,000",480Y/277V,5,35
"3,000",480V,5,35
"3,000",600Y347V,5,35
"3,000",600V,5,35
"3,000",2400V,8.7,35
"3,000",4160V,8.7,35
"3,000",4800V,8.7,35
"3,750",208Y/120V,-,-
"3,750",240V,-,-
"3,750",480Y/277V,5,35
"3,750",480V,5,35
"3,750",600Y347V,5,35
"3,750",600V,5,35
"3,750",2400V,8.7,35
"3,750",4160V,8.7,35
"3,750",4800V,8.7,35
"5,000",208Y/120V,-,-
"5,000",240V,-,-
"5,000",480Y/277V,5,35
"5,000",480V,5,35
"5,000",600Y347V,5,35
"5,000",600V,5,35
"5,000",2400V,8.7,35
"5,000",4160V,8.7,35
"5,000",4800V,8.7,35
"7,500",2400V,8.7,35
"7,500",4160V,8.7,35
"7,500",4800V,8.7,35
"10,000",2400V,15,35
"10,000",4160V,15,35
"10,000",4800V,15,35
